Team,Name,BATTLEBOX_points,BINGO_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVALGAMES_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
Brain Damage,GrayMan2003,75.0,0.0,104.0,75.0,12.0,104.0,55.0,54.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,479.0,306.0
Brain Damage,Mztt,195.0,400.0,814.0,1747.5,305.0,278.0,995.0,592.5,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,5327.0,2812.0
Brain Damage,TreeGameDev,75.0,840.0,422.0,487.5,173.0,259.0,585.0,252.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3093.5,1710.0
Brain Damage,TurboAlexZ,45.0,320.0,638.0,360.0,132.0,120.0,540.0,258.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,2413.0,1293.0
Mztt's Bane,GoodGuySam,495.0,1040.0,720.0,842.5,179.0,48.0,770.0,379.5,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,4474.0,2335.0
Mztt's Bane,Zombeescott,315.0,440.0,766.0,747.5,96.0,112.0,730.0,252.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3458.5,1780.0
Mztt's Bane,iheartburgers,345.0,1160.0,708.0,870.0,28.0,139.0,795.0,360.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,4405.0,2237.0
Mztt's Bane,snailberry,285.0,440.0,804.0,872.5,162.0,40.0,565.0,120.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3288.5,1669.0
SPAM,1Smokey,210.0,800.0,582.0,642.5,403.0,243.0,515.0,252.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3647.5,2108.0
SPAM,Mu7u,150.0,640.0,420.0,735.0,70.0,313.0,540.0,270.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3138.0,1703.0
SPAM,Pancake_Manz,90.0,0.0,504.0,1157.5,190.0,219.0,465.0,237.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,2862.5,1528.0
SPAM,_savannah,150.0,920.0,484.0,437.5,235.0,80.0,730.0,228.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3264.5,1736.0
Suits & One,Gink0_,180.0,0.0,614.0,437.5,68.0,160.0,335.0,66.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,1860.5,1008.0
Suits & One,LegacyMrDen,360.0,200.0,512.0,735.0,328.0,72.0,695.0,288.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3190.0,1760.0
Suits & One,Lord_Beaker,420.0,160.0,786.0,1342.5,165.0,24.0,415.0,264.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3576.5,1821.0
Suits & One,Stan_D_Man,180.0,280.0,282.0,210.0,72.0,8.0,120.0,126.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,1278.0,697.0
Surfin' Queens,Samyntha,180.0,0.0,748.0,1092.5,96.0,32.0,515.0,411.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3074.5,1539.0
Surfin' Queens,candleflint,270.0,1160.0,718.0,517.5,194.0,56.0,695.0,204.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3814.5,1990.0
Surfin' Queens,cardsandhuskers,270.0,1160.0,796.0,1510.0,357.0,211.0,820.0,400.5,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,5524.5,2925.0
Surfin' Queens,j_scotty_,180.0,520.0,316.0,502.5,88.0,171.0,620.0,132.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,2529.5,1334.0
The Revenant Choir,F3V3X,225.0,280.0,822.0,1007.5,113.0,16.0,550.0,42.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3055.5,1481.0
The Revenant Choir,HIGHFLY100,195.0,1640.0,722.0,990.0,104.0,377.0,685.0,300.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,5013.0,2662.0
The Revenant Choir,Kortogyo,135.0,840.0,572.0,345.0,109.0,417.0,515.0,270.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3203.0,1846.0
The Revenant Choir,LawTheElvenking,135.0,160.0,218.0,27.5,137.0,176.0,325.0,126.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,1304.5,817.0
dream team + zophie,R41NY__,525.0,160.0,258.0,847.5,269.0,375.0,780.0,301.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,3515.5,2054.6666666666665
dream team + zophie,nxva_ii,555.0,160.0,808.0,1675.0,439.0,375.0,880.0,348.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,5240.0,2922.0
dream team + zophie,steelyduck,555.0,1680.0,862.0,1297.5,306.0,600.0,795.0,399.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,6494.5,3650.0
dream team + zophie,zophies,345.0,0.0,274.0,215.0,222.0,100.0,45.0,42.0,1.5,2.0,2.0,2.5,1.0,1.0,2.5,1.5,1243.0,821.0
